Date,Close,High,Low,Open,Volume
02-01-2014,0.373905838,0.376734905,0.370605296,0.375320371,260092000
03-01-2014,0.369426638,0.375320484,0.368247869,0.374613217,259332000
06-01-2014,0.3743774,0.37720644,0.369662296,0.373198603,409492000
07-01-2014,0.380506992,0.381921526,0.375556179,0.378149454,333288000
08-01-2014,0.38569358,0.387579616,0.380506974,0.381921508,308192000
09-01-2014,0.371312469,0.380506853,0.370133701,0.379799586,292172000
10-01-2014,0.370841026,0.3750846,0.367540485,0.372491325,218492000
13-01-2014,0.362118244,0.373198669,0.361410977,0.370841131,243332000
14-01-2014,0.373434395,0.374141662,0.362353943,0.364004242,241828000
15-01-2014,0.377442241,0.378856775,0.373434431,0.375084702,175044000
16-01-2014,0.378621012,0.379328279,0.375791972,0.377442243,220652000
17-01-2014,0.376970589,0.383100198,0.374613052,0.37862086,340400000
21-01-2014,0.378385246,0.380742784,0.374377436,0.377442214,246076000
22-01-2014,0.377913713,0.379563984,0.373434374,0.379092482,337940000
23-01-2014,0.376499146,0.38074272,0.373670106,0.376734911,185028000
24-01-2014,0.36683324,0.374848885,0.36683324,0.373434351,246696000
27-01-2014,0.364475727,0.372019843,0.362353926,0.366833265,233812000
28-01-2014,0.3680121,0.368247866,0.362353991,0.363768526,167996000
29-01-2014,0.364475727,0.368719301,0.364239962,0.3665975,162944000
30-01-2014,0.370605379,0.371312646,0.365418773,0.366597542,202896000
31-01-2014,0.370133877,0.37225565,0.365183035,0.365418772,335348000
03-02-2014,0.365183055,0.373198675,0.363768521,0.372727173,431728000
04-02-2014,0.367304742,0.368012009,0.363061169,0.364947204,280692000
05-02-2014,0.364004284,0.36589032,0.361175216,0.364711551,214676000
06-02-2014,0.36871925,0.369662254,0.364004175,0.364475676,168380000
07-02-2014,0.374141604,0.374613106,0.366361723,0.369662265,157248000
10-02-2014,0.375320405,0.380271246,0.373434369,0.373670134,324372000
11-02-2014,0.383100301,0.384043305,0.375556185,0.377442193,235384000
12-02-2014,0.396774083,0.399603152,0.384279124,0.384279124,744528000
13-02-2014,0.409268916,0.411626481,0.399603028,0.406675641,902836000
14-02-2014,0.422235459,0.423178463,0.405261163,0.405496928,817536000
18-02-2014,0.421999693,0.423885729,0.418463386,0.422471223,428988000
19-02-2014,0.427657843,0.431429915,0.420113698,0.421999734,450340000
20-02-2014,0.442746043,0.443689047,0.427893549,0.428600788,398088000
21-02-2014,0.439445466,0.447696876,0.436616426,0.442038769,451052000
24-02-2014,0.445810914,0.449111456,0.434494725,0.438502534,403112000
25-02-2014,0.443797797,0.447113269,0.439061432,0.445218718,242184000
26-02-2014,0.443087399,0.449481486,0.441666478,0.442850569,360884000
27-02-2014,0.438114226,0.447586957,0.436930135,0.443087421,388848000
28-02-2014,0.435272485,0.440008851,0.428878368,0.435746116,321692000
03-03-2014,0.433141023,0.433141023,0.42177374,0.425562844,375948000
04-03-2014,0.437640548,0.440482361,0.434561905,0.435272365,260344000
05-03-2014,0.441429734,0.441666564,0.435272475,0.437166999,241472000
06-03-2014,0.435272485,0.444508388,0.434562024,0.442140205,290144000
07-03-2014,0.434798837,0.43787748,0.431483392,0.43716702,268452000
10-03-2014,0.428404719,0.435272466,0.426510167,0.433377914,300888000
11-03-2014,0.432667494,0.436456598,0.429115219,0.430536112,297220000
12-03-2014,0.43385151,0.436456523,0.428878315,0.430536037,239428000
